condition,confidence,n_nonzero_morphogens,fidelity
virtual_00549,0.011989389533639597,7,0.0
virtual_00550,0.023960187268553236,7,0.0
virtual_00551,0.011610910644192703,6,0.0
virtual_00552,0.01,6,0.0
virtual_00553,0.01,8,0.0
virtual_00554,0.01,6,0.0
virtual_00555,0.01,8,0.0
virtual_00556,0.018279213366254706,8,0.0
virtual_00557,0.01,8,0.0
virtual_00558,0.10391266681988987,5,0.0
virtual_00559,0.01,7,0.0
virtual_00560,0.09328710718411672,9,0.0
virtual_00561,0.01,7,0.0
virtual_00562,0.010746223956029005,8,0.0
virtual_00563,0.01,9,0.0
virtual_00564,0.01,8,0.0
virtual_00565,0.01,7,0.0
virtual_00566,0.011397343108711166,6,0.0
virtual_00567,0.01,7,0.0
virtual_00568,0.01,6,0.0
virtual_00569,0.01,7,0.0
virtual_00570,0.01580713007035557,6,0.0
virtual_00571,0.01,6,0.0
virtual_00572,0.01,8,0.0
virtual_00573,0.01,9,0.0
virtual_00574,0.01,8,0.0
virtual_00575,0.02116969775441772,6,0.0
virtual_00576,0.01,8,0.0
virtual_00577,0.010197711747567223,4,0.0
virtual_00578,0.01,9,0.0
virtual_00579,0.11182212799596633,5,0.0
virtual_00580,0.07847659152242853,7,0.0
virtual_00581,0.015178763215917912,6,0.0
virtual_00582,0.08767707698292533,5,0.0
virtual_00583,0.09834415230222743,6,0.0
virtual_00584,0.01,7,0.0
virtual_00585,0.21253679198829184,4,0.0
virtual_00586,0.01,7,0.0
virtual_00587,0.01,8,0.0
virtual_00588,0.01,8,0.0
virtual_00589,0.01,7,0.0
virtual_00590,0.023403101442827257,7,0.0
virtual_00591,0.03341153069919947,7,0.0
virtual_00592,0.01,7,0.0
virtual_00593,0.01,8,0.0
virtual_00594,0.10800554411167303,6,0.0
virtual_00595,0.01,9,0.0
virtual_00596,0.017594413154824882,5,0.0
virtual_00597,0.048536528340286926,6,0.0
virtual_00598,0.01,6,0.0
virtual_00599,0.010357832927827765,8,0.0
virtual_00600,0.01219747103293255,6,0.0
virtual_00601,0.17250412320427505,4,0.0
virtual_00602,0.01,8,0.0
virtual_00603,0.01,7,0.0
virtual_00604,0.01,6,0.0
virtual_00605,0.011752438787787726,5,0.0
virtual_00606,0.05613022841302295,6,0.0
virtual_00607,0.01,8,0.0
virtual_00608,0.01,6,0.0
virtual_00609,0.12867488910770683,6,0.0
virtual_00610,0.1501588993889896,7,0.0
virtual_00611,0.01,9,0.0
virtual_00612,0.04345443915918454,6,0.0
virtual_00613,0.01,7,0.0
virtual_00614,0.01,8,0.0
virtual_00615,0.020510692299498975,7,0.0
virtual_00616,0.01,8,0.0
virtual_00617,0.01,8,0.0
virtual_00618,0.01,7,0.0
virtual_00619,0.025968169218580188,7,0.0
virtual_00620,0.01,6,0.0
virtual_00621,0.01,7,0.0
virtual_00622,0.03743658390145458,7,0.0
virtual_00623,0.10993468228337147,5,0.0
virtual_00624,0.01,7,0.0
virtual_00625,0.11928287320262883,6,0.0
virtual_00626,0.01,7,0.0
virtual_00627,0.01,8,0.0
virtual_00628,0.019890313517706086,8,0.0
virtual_00629,0.01,8,0.0
virtual_00630,0.049715849136059656,7,0.0
virtual_00631,0.01,6,0.0
virtual_00632,0.01,5,0.0
virtual_00633,0.02022819075971681,7,0.0
virtual_00634,0.01,8,0.0
virtual_00635,0.01,8,0.0
virtual_00636,0.031398715685012644,7,0.0
virtual_00637,0.18688757328490865,6,0.0
virtual_00638,0.024106350805556145,6,0.0
virtual_00639,0.016571734617422503,9,0.0
virtual_00640,0.01,6,0.0
virtual_00641,0.01,6,0.0
virtual_00642,0.059644136646850913,6,0.0
virtual_00643,0.010204689570674006,9,0.0
virtual_00644,0.03283773534232899,7,0.0
virtual_00645,0.023514156127054816,8,0.0
virtual_00646,0.17166210795025708,6,0.0
virtual_00647,0.04883559565529331,7,0.0
virtual_00648,0.037895179762262574,6,0.0
virtual_00649,0.01,8,0.0
virtual_00650,0.01,6,0.0
virtual_00651,0.02213751294561853,9,0.0
virtual_00652,0.01,5,0.0
virtual_00653,0.01,7,0.0
virtual_00654,0.03258949360226131,6,0.0
virtual_00655,0.01,7,0.0
virtual_00656,0.05904226960650814,7,0.0
virtual_00657,0.01,8,0.0
virtual_00658,0.010456176463576562,6,0.0
virtual_00659,0.016040757437323274,6,0.0
virtual_00660,0.01,9,0.0
virtual_00661,0.01,6,0.0
virtual_00662,0.05571859093200146,7,0.0
virtual_00663,0.01,8,0.0
virtual_00664,0.01,6,0.0
virtual_00665,0.08151460708272042,8,0.0
virtual_00666,0.012664546216364786,7,0.0
virtual_00667,0.01,9,0.0
virtual_00668,0.020661969064051787,7,0.0
virtual_00669,0.01,8,0.0
virtual_00670,0.2263534915219226,3,0.0
virtual_00671,0.010877385508696824,7,0.0
virtual_00672,0.04770284221147579,7,0.0
virtual_00673,0.024138427660468725,7,0.0
virtual_00674,0.01,8,0.0
virtual_00675,0.01,9,0.0
virtual_00676,0.19492686360692935,5,0.0
virtual_00677,0.01,5,0.0
virtual_00678,0.1748759856978956,7,0.0
virtual_00679,0.01977462077415811,9,0.0
virtual_00680,0.01,8,0.0
virtual_00681,0.14480139952248383,6,0.0
virtual_00682,0.01,8,0.0
virtual_00683,0.025285915830899217,7,0.0
virtual_00684,0.18392279308566842,5,0.0
virtual_00685,0.01,6,0.0
virtual_00686,0.01,9,0.0
virtual_00687,0.01,8,0.0
virtual_00688,0.1042526350493422,7,0.0
virtual_00689,0.01,7,0.0
virtual_00690,0.016903999166777102,6,0.0
virtual_00691,0.01,8,0.0
virtual_00692,0.01,7,0.0
virtual_00693,0.01,9,0.0
virtual_00694,0.01,7,0.0
virtual_00695,0.03593307420105133,7,0.0
virtual_00696,0.01,6,0.0
virtual_00697,0.03397309625447701,5,0.0
virtual_00698,0.01,6,0.0
virtual_00699,0.02352588848569884,8,0.0
virtual_00700,0.01073652929950735,6,0.0
virtual_00701,0.01,7,0.0
